"SESSO","PAR","ANASCI","STACIV","IREG","ANNO","ID","STUDIO","NASCREG"
1,1,63,2,1,2016,"39317_3",3,1
1,1,34,1,1,2016,"39318_1",3,1
2,2,38,1,1,2016,"39318_2",4,1
1,3,69,2,1,2016,"39318_3",3,1
1,1,10,1,3,2016,"39351_2",2,3
2,2,10,1,3,2016,"39351_1",3,3
2,1,21,3,20,2016,"39488_1",2,20
1,1,10,1,20,2016,"39491_1",3,20
2,2,5,1,20,2016,"39491_2",3,20
1,1,20,1,11,2016,"39697_1",5,11
2,2,24,1,11,2016,"39697_2",5,11
2,3,56,2,11,2016,"39697_4",4,11
1,1,2,4,13,2016,"50052_1",3,13
1,1,31,1,13,2016,"50060_1",3,7
2,2,28,1,13,2016,"50060_2",3,13
1,3,58,2,13,2016,"50060_4",5,13
1,1,17,4,13,2016,"50085_1",3,13
1,3,47,2,13,2016,"50085_2",3,13
2,1,11,4,13,2016,"50231_2",2,13
1,3,30,2,13,2016,"50231_3",2,13
1,1,19,1,10,2016,"51013_1",5,10
2,2,22,1,10,2016,"51013_3",4,10
1,3,53,2,10,2016,"51013_4",5,10
2,1,5,4,2,2016,"51363_2",2,2
1,1,24,1,16,2016,"51444_1",3,14
2,2,23,1,16,2016,"51444_2",3,16
2,3,52,2,16,2016,"51444_3",5,16
2,3,59,2,16,2016,"51444_4",5,16
1,1,4,1,16,2016,"51467_1",2,16
1,3,33,3,16,2016,"51467_3",3,16
1,1,22,1,16,2016,"51544_1",3,16
2,2,15,1,16,2016,"51544_2",3,16
1,1,12,1,16,2016,"51733_1",3,16
2,2,11,1,16,2016,"51733_2",2,16
1,1,13,1,15,2016,"51895_1",2,4
2,2,12,1,15,2016,"51895_2",2,15
2,1,32,4,8,2016,"52700_2",2,8
2,1,28,4,6,2016,"52718_6",2,6
2,3,52,2,6,2016,"52718_5",4,6
2,1,37,2,8,2016,"52736_4",4,8
1,4,17,2,8,2016,"52736_3",2,8
1,1,30,1,19,2016,"53008_1",4,19
2,2,35,1,19,2016,"53008_2",3,19
2,1,14,3,16,2016,"53028_1",2,16
1,1,28,2,19,2016,"53086_1",4,7
2,1,4,4,19,2016,"53109_2",2,5
1,1,22,1,16,2016,"53202_1",3,16
2,2,28,1,16,2016,"53202_2",3,16
1,1,18,1,19,2016,"53234_1",3,3
2,2,19,1,19,2016,"53234_2",3,7
1,3,49,2,19,2016,"53234_3",5,19
1,3,57,2,19,2016,"53234_5",5,19
1,2,17,1,3,2016,"53373_1",4,3
2,1,4,4,3,2016,"53380_1",2,3
1,3,33,3,3,2016,"53380_2",4,3
1,1,20,1,3,2016,"53520_1",3,14
2,2,24,1,3,2016,"53520_2",3,3
1,1,15,1,3,2016,"53549_1",3,3
2,2,20,1,3,2016,"53549_2",3,3
2,1,27,3,3,2016,"53552_2",3,3
2,3,62,2,3,2016,"53552_4",4,3
1,1,3,4,3,2016,"53564_1",5,3
2,3,35,2,3,2016,"53564_5",4,3
1,1,36,3,3,2016,"53596_1",3,3
1,3,63,2,3,2016,"53596_3",4,3
1,3,72,2,3,2016,"53596_4",3,3
2,1,24,1,14,2016,"53871_1",3,10
1,2,24,1,14,2016,"53871_2",2,8
1,3,38,3,14,2016,"53997_7",5,14
2,1,9,1,14,2016,"54143_2",3,14
2,4,41,2,14,2016,"54143_5",2,14
2,1,17,1,20,2016,"55147_2",2,20
1,2,2,1,20,2016,"55147_1",2,20
2,1,2,4,5,2016,"55308_2",2,5
1,1,41,2,7,2016,"55425_3",5,7
1,1,32,2,7,2016,"55430_1",5,7
2,4,3,4,7,2016,"55430_3",4,7
2,1,30,1,7,2016,"55636_3",5,7
1,2,27,1,7,2016,"55636_2",4,7
2,4,1,4,7,2016,"55636_1",2,7
1,3,67,2,7,2016,"55636_6",4,7
2,1,25,4,9,2016,"55774_2",2,9
1,3,45,2,9,2016,"55774_3",4,20
1,3,52,2,9,2016,"55774_5",4,9
2,1,4,4,4,2016,"56251_2",2,4
2,3,37,4,4,2016,"56251_1",4,4
1,4,61,2,4,2016,"56251_3",4,4
1,1,22,1,2,2016,"56465_1",3,2
2,2,26,1,2,2016,"56465_5",3,11
1,1,7,1,2,2016,"56563_1",2,2
2,2,9,1,2,2016,"56563_2",2,2
2,1,35,1,2,2016,"56582_2",4,2
1,2,28,1,2,2016,"56582_1",3,2
2,3,62,2,2,2016,"56582_3",5,2
2,1,40,1,2,2016,"56603_2",3,2
1,2,36,1,2,2016,"56603_1",3,19
1,1,22,1,2,2016,"56624_1",4,2
1,1,36,2,2,2016,"56658_1",3,2
2,4,9,4,2,2016,"56658_3",2,2
2,1,3,1,2,2016,"56677_1",3,3
1,2,8,1,2,2016,"56677_2",4,2
2,1,31,1,2,2016,"56721_4",3,2
1,2,27,1,2,2016,"56721_7",3,2
2,1,42,1,2,2016,"56761_5",5,2
1,2,41,1,2,2016,"56761_7",3,2
1,3,74,2,2,2016,"56761_6",2,2
1,3,75,2,2,2016,"56761_8",2,2
1,4,13,1,2,2016,"56761_3",3,2
2,4,19,1,2,2016,"56761_4",2,2
1,1,15,1,2,2016,"56762_1",2,2
2,2,27,1,2,2016,"56762_2",3,2
1,1,36,1,11,2016,"57027_1",3,11
